Year,Month,Email Count
2005,1,435
2005,2,371
2005,3,595
2005,4,483
2005,5,424
2005,6,517
2005,7,363
2005,8,376
2005,9,908
2005,10,508
2005,11,555
2005,12,365
2006,1,888
2006,2,573
2006,3,531
2006,4,454
2006,5,464
2006,6,474
2006,7,224
2006,8,322
2006,9,661
2006,10,550
2006,11,584
2006,12,301
2007,1,610
2007,2,488
2007,3,578
2007,4,497
2007,5,362
2007,6,317
2007,7,403
2007,8,670
2007,9,766
2007,10,792
2007,11,721
2007,12,339
2008,1,774
2008,2,800
2008,3,597
2008,4,579
2008,5,362
2008,6,315
2008,7,368
2008,8,488
2008,9,543
2008,10,501
2008,11,460
2008,12,394
2009,1,780
2009,2,650
2009,3,401
2009,4,468
2009,5,389
2009,6,609
2009,7,406
2009,8,288
2009,9,614
2009,10,687
2009,11,656
2009,12,557
2010,1,639
2010,2,654
2010,3,603
2010,4,333
2010,5,137
2010,6,113
2010,7,159
2010,8,206
2010,9,407
2010,10,351
2010,11,321
2010,12,401
2011,1,793
2011,2,583
2011,3,521
2011,4,393
2011,5,286
2011,6,571
2011,7,580
2011,8,592
2011,9,751
2011,10,614
2011,11,417
2011,12,520
2012,1,811
2012,2,549
2012,3,581
2012,4,485
2012,5,438
2012,6,349
2012,7,507
2012,8,211
2012,9,186
2012,10,241
2012,11,211
2012,12,180
2013,1,337
2013,2,404
2013,3,346
2013,4,215
2013,5,177
2013,6,218
2013,7,254
2013,8,350
2013,9,737
2013,10,620
2013,11,701
2013,12,489
2014,1,1190
2014,2,694
2014,3,714
2014,4,674
2014,5,551
2014,6,595
2014,7,691
2014,8,579
2014,9,779
2014,10,565
2014,11,582
2014,12,480
2015,1,681
2015,2,371
2015,3,601
2015,4,512
2015,5,547
2015,6,702
2015,7,421
2015,8,560
2015,9,721
2015,10,481
2015,11,467
2015,12,326
2016,1,281
2016,2,100
2016,3,140
2016,4,348
2016,5,355
2016,6,613
2016,7,618
2016,8,593
2016,9,964
2016,10,574
2016,11,669
2016,12,745
2017,1,1034
2017,2,466
2017,3,710
2017,4,472
2017,5,498
2017,6,757
2017,7,439
2017,8,434
2017,9,609
2017,10,576
2017,11,485
2017,12,451
2018,1,1184
2018,2,563
2018,3,800
2018,4,725
2018,5,474
2018,6,822
2018,7,563
2018,8,484
2018,9,678
2018,10,499
2018,11,593
2018,12,508
2019,1,595
2019,2,438
2019,3,557
2019,4,446
2019,5,471
2019,6,342
2019,7,377
2019,8,463
2019,9,395
2019,10,393
2019,11,487
2019,12,269
